Name,Zone,Price,URL,Bedrooms,Area,Floor,Description,Source,Scraped At
"T1 na Rua Francisco Pedro Curado, nr8, com parqueamento e arrecadação","Alto de São João - Alto do Varejão, Penha de França, Lisboa, Lisboa",1050,https://www.imovirtual.com/pt/anuncio/t1-na-rua-francisco-pedro-curado-nr8-com-parqueamento-e-arrecadacao-ID1g3Bq,T1,50 m²,0,"T1 com 50 m2 em prédio recente, com elevador, lugar de parqueamento, arrecadação e kitchenet totalmente renovada e equipada: frigorífico combinado, micro-ondas, termoacumulador, placa e forno, exausto...",Imovirtual,2025-01-20 13:31:27
Apartamento T1 em caselas,"Palácio da Ajuda, Ajuda, Lisboa, Lisboa",650,https://www.imovirtual.com/pt/anuncio/apartamento-t1-em-caselas-ID1g3AA,T1,40 m²,0,Pequeno anexo T1 em caselas com despesas incluídas - frigorífico -máquina de lavar roupa -microondas -fogão Acesso livre a piscina Estacionamento gratuito na rua 2min a pé de paragens de autoc...,Imovirtual,2025-01-20 13:31:27
Apartamento T1 para arrendamento,"Rua Conceição da Glória, Praça da Alegria, Santo António, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g3zY,T1,30 m²,0,APARTAMENTO T1 | MOBILADO | COM LUGAR DE ESTACIONAMENTO | PR&Iacute;NCIPE REAL Apartamento muito funcional entre o Pr&iacute;ncipe Real e a Av. da Liberdade. Composto por uma sala com kitchenette (pla...,Imovirtual,2025-01-20 13:31:27
Apartamento T2 para arrendamento,"Rua Duarte Galvão, Estrada de Benfica, São Domingos de Benfica, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID1g3tu,T2,53.59 m²,0,"Apartamento T2 para arrendar em frente ao Hospital da Cruz Vermelha Apresento-lhe este fant&aacute;stico apartamento T2, ideal para quem procura conforto e uma localiza&ccedil;&atilde;o privilegiada. ...",Imovirtual,2025-01-20 13:31:27
Arrenda-se T1 mobilado e equipado sem fiador,"Bairro do Condado, Marvila, Lisboa, Lisboa",820,https://www.imovirtual.com/pt/anuncio/arrenda-se-t1-mobilado-e-equipado-sem-fiador-ID.1g4zP,T1,60 m²,0,,Imovirtual,2025-01-20 13:31:27
"Apartamento T1 em São Vicente de 47,00 m2","Graça, São Vicente, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t1-em-sao-vicente-de-47-00-m2-ID1g3pl,T1,47 m²,0,Encantador apartamento T1 de 47m2 localizado no bairro histórico de São Vicente. Localizado no 4º andar sem elevador de um edifício completamente remodelado em 2017 de estilo pombalino. Ele esta comp...,Imovirtual,2025-01-20 13:32:22
Apartamento T1 para arrendamento,"Rua do Giestal, Alto de Alcântara, Alcântara, Lisboa, Lisboa",1100,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g3mx,T1,43 m²,0,"Apartamento T1 para arrendamento Apartamento composto por um quarto, uma sala, cozinha, casa-de-banho, hall de entrada e marquise. Est&aacute; equipado com fog&atilde;o a g&aacute;s, esquentador, frig...",Imovirtual,2025-01-20 13:32:22
Apartamento T1 para arrendamento,"Rua de Sant'Ana à Lapa, Lapa, Estrela, Lisboa, Lisboa",1000,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g3mi,T1,30 m²,0,T1 &bull; LAPA &bull; MOBILADO E EQUIPADO &bull; COM TERRA&Ccedil;O Simp&aacute;tico T1 com acesso directo a logradouro. Remodelado recentemente. Mobilado e equipado com tudo o que necessita para se i...,Imovirtual,2025-01-20 13:32:22
T-2 mobilado+equipado CENTRO Lisboa. Só 1 renda e caução.,"São Cristóvão e São Lourenço, Santa Maria Maior, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/t-2-mobilado-equipado-centro-lisboa-so-1-renda-e-caucao-ID1g3lS,T2,60 m²,0,"Se o T- 2 está anunciado on- line é porque se ENCONTRA DISPONÍVEL para entrada IMEDIATA. SÓ 1 RENDA 1200 EUR+ 1 CAUÇÃO 1200 EUR, MAIS NADA!! ARRENDO PARA "" ONTEM"". BEM MOBILADO E MELHOR EQUIPADO. Na ...",Imovirtual,2025-01-20 13:32:22
Arrenda-se Apartamento T1 nas Avenidas Novas,"Parque Eduardo VII, Avenidas Novas, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/arrenda-se-apartamento-t1-nas-avenidas-novas-ID1fTzX,T1,40 m²,0,"Magnifico apartamento em zona privilegiada de Lisboa, bem equipado com ar condicionado. Todas as despesas incluidas.",Imovirtual,2025-01-20 13:32:22
T1 - Lisboa - Mobilado e equipado,"Igreja de Benfica, Benfica, Lisboa, Lisboa",800,https://www.imovirtual.com/pt/anuncio/t1-lisboa-mobilado-e-equipado-ID1g3dB,T1,40 m²,0,"***DISPONÍVEL PARA VISITAS E ARRENDAMENTO A PARTIR DO DIA 01 /FEV/2025*** A 10 minutos do C.C.Colombo totalmente mobilado, remodelado e equipado. Descrição do apartamento: Um quarto com cama de cas...",Imovirtual,2025-01-20 13:32:22
Apartamento T2 para arrendamento,"Rua da Cruz A Alcântara, Quinta do Jacinto, Alcântara, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID1g399,T2,38 m²,0,"Apartamento T2 para arrendamento. Situado na zona de Alc&acirc;ntara, Lisboa, totalmente equipado e mobilado, dispon&iacute;vel para entrada a partir de 27/01/2025.Requisitos para os candidatos: Decl...",Imovirtual,2025-01-20 13:32:22
Apartamento T1 para arrendamento,"Rua Joaquim Costa, Alameda - Praça do Chile - Almirante Reis, Arroios, Lisboa, Lisboa",950,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g38V,T1,40 m²,0,"Descobre este encantador apartamento T1, recentemente renovado, perfeito para quem procura conforto e conveniência no coração da cidade. Originalmente uma loja, agora transformada em habitação, esta p...",Imovirtual,2025-01-20 13:32:22
T1 com kitchenette equipada na Penha de França,"Bairro dos Actores - Barão Sabrosa, Penha de França, Lisboa, Lisboa",1100,https://www.imovirtual.com/pt/anuncio/t1-com-kitchenette-equipada-na-penha-de-franca-ID1g38q,T1,38 m²,0,"Venha conhecer este simpático apartamento T1, localizado no primeiro andar de um prédio bem conservado, sem elevador, na Rua Melo Gouveia, em Lisboa. Com cerca de 50 m² de área total, este imóvel dest...",Imovirtual,2025-01-20 13:32:22
Apartamento T1 - Alta de Lisboa,"Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t1-alta-de-lisboa-ID1g363,T1,50 m²,0,"Espaços... na sua vida! Apartamento T1, situado na Alta de Lisboa, com ótimos acessos para toda a zona de Lisboa, transportes públicos, pequeno comércio, farmácia, escola, parque infantil, clinicas, ...",Imovirtual,2025-01-20 13:32:22
Fantástico T1 novo Penha de França,"Alto de São João - Alto do Varejão, Penha de França, Lisboa, Lisboa",1050,https://www.imovirtual.com/pt/anuncio/fantastico-t1-novo-penha-de-franca-ID1g32Q,T1,45.2 m²,0,"Excelente T1 novo na Penha de França, localizado em zona tranquila e de fácil acesso a transportes e serviços. O apartamento com muito bom gosto, foi totalmente recuperado e encontra-se em estado ...",Imovirtual,2025-01-20 13:32:22
Apartamento T1 para arrendamento,"Rua Luís Derouet, Centro, Campo de Ourique, Lisboa, Lisboa",1100,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g31V,T1,46 m²,0,"Óptimo apartamento T1, remodelado, em Campo de Ourique! Apartamento remodelado com: Sala com muita luz natural! Cozinha semi equipada (fogão, forno, exaustor, esquentador). Não tem frigorífico, máqui...",Imovirtual,2025-01-20 13:32:22
